점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cps),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250423A,노항우,장기보관성개선,[911기반] AA 증량 : 2%,0.4846999943256378,0.47189998626708984,0.8044000267982483,0.9735999703407288,0.0031999999191612005,8-9,-40.7400016784668,250.0,2.50E-03,,525.9400024414062,BA 89 / MMA 9 / AA 2,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.17wt%,4.75시간,83
S250422B,이민지,딥드로잉용,[917기반] 806 조성 적용,0.4659999907016754,0.45840001106262207,0.8565999865531921,0.9836999773979187,0.004399999976158142,8-9,-12.979999542236328,300.0,4.13E-03,,556.27001953125,BA 68 / MMA 30 / AA 2 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.18wt% / NH4OH(P/E) 5.399g,4.75시간,83
S250422A,이민지,딥드로잉용,[909기반] 806 조성 적용,0.47119998931884766,0.4474000036716461,0.7671999931335449,0.9495000243186951,0.0026000000070780516,8-9,-12.979999542236328,400.0,4.15E-03,,550.3699951171875,BA 68 / MMA 30 / AA 2,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt%,4.75시간,83
S250421H,노항우,장기보관성개선,[910기반] HDDA 0.5%,0.4706999957561493,0.4489000141620636,0.6873000264167786,0.9537000060081482,0.024900000542402267,8-9,,50.0,4.14E-03,,329.2099914550781,BA 39.1 / 2-EHA 39.1 / CHMA 20 / AA 1.3 / HDDA 0.5,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.13wt%,4.75시간,83
S250421G,노항우,장기보관성개선,[910기반] HDDA 0.35%,0.4708999991416931,0.45570001006126404,0.5857999920845032,0.9677000045776367,0.041099999099969864,8-9,,50.0,4.14E-03,,329.04998779296875,BA 39.18 / 2-EHA 39.18 / CHMA 20 / AA 1.3 / HDDA 0.35,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.12wt%,4.75시간,83
S250418H,노항우,장기보관성개선,[911기반] BA:2-EHA = 2:2,0.48570001125335693,0.4657999873161316,0.6414999961853027,0.9589999914169312,0.02800000086426735,8-9,-46.20000076293945,50.0,2.50E-03,,314.8999938964844,BA 44.85 / 2-EHA 44.85 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.13wt%,4.75시간,83
S250418G,노항우,장기보관성개선,[911기반] BA:2-EHA = 3:1,0.48590001463890076,0.4754999876022339,0.6728000044822693,0.978600025177002,0.02199999988079071,8-9,-43.84000015258789,50.0,2.50E-03,,314.7900085449219,BA 67.28 / 2-EHA 22.42 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.12wt%,4.75시간,83
S250430A,노항우,난부착용,[913기반] BA > 2-EHA,0.47269999980926514,0.4472000002861023,0.527899980545044,0.9460999965667725,0.05909999832510948,8-9,,100.0,3.77E-03,,327.8599853515625,2-EHA 78.7 / CHMA 20 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.15wt%,4.75시간,83
S250430B,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > BA,0.4715999960899353,0.4584999978542328,0.6417999863624573,0.9721999764442444,0.029500000178813934,8-9,,200.0,3.77E-03,,328.6199951171875,2-EHA 78.7 / BA 20 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.19wt%,4.75시간,83
S250430C,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > LMA,0.4717000126838684,0.412200003862381,0.6209999918937683,0.8738999962806702,0.0010999999940395355,8-9,,50.0,3.77E-03,,328.5799865722656,2-EHA 78.7 / LMA 20 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.19wt%,4.75시간,83
S250430D,노항우,장기보관성개선,[911기반] MMA 4.5wt%,0.48420000076293945,0.4684999883174896,0.7361000180244446,0.9675999879837036,0.003100000089034438,8-9,,100.0,2.50E-03,,315.9100036621094,BA 94.2 / MMA 4.5 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.19wt%,4.75시간,83
