점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cP),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250421B,이민지,재현검증,[910],0.47,0.4,0.55,0.86,0.0073,8-9,-40.04,40.0,0.00414,,547.98,BA 39.35 / 2-EHA 39.35 / CHMA 20 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.11wt%,4.75시간,83.0
S250421A,이민지,재현검증,[911],0.48,0.47,0.82,0.97,0.0039,8-9,-41.92,100.0,0.0025,,524.27,BA 89.7 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.11wt%,4.75시간,83.0
S250417H,노항우,장기보관성개선,[911기반] BA : 2-EHA = 2 : 2 > NG(응집),0.48,,,,,,,,0.0025,,312.76,BA 44.85 / 2-EHA 44.85 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250417G,노항우,장기보관성개선,[911기반] BA : 2-EHA = 3 : 1 > NG(응집),0.48,,,,,,,,0.0025,,312.76,BA 67.28 / 2-EHA 22.43 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250416H,노항우,장기보관성개선,[기초실험] AAm + AA 적용 검토 > NG(유화실패),0.48,,,,,,,,0.08,,318.43,BA 38.35 / 2-EHA 38.35 / IBOMA 20 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),AAm 2.83wt%(초기 0.04wt%) / AA 2.79 / ER-10 0.15wt%,,
S250416G,노항우,장기보관성개선,[909],0.46,0.43,0.48,0.93,0.06,8,-41.7,50.0,0.00414,,333.29,BA 38.35 / 2-EHA 38.35 / IBOMA 20 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.38wt%,4.75시간,83.0
S250415H,노항우,장기보관성개선,[909기반] HDDA 0.25%,0.46,0.43,0.59,0.94,0.04,8-9,,50.0,0.00414,,334.77,BA 38.35 / 2-EHA 38.35 / IBOMA 20 / 2-HEMA 2 / AA 1.3 / HDDA 0.25%,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.47wt%,4.75시간,83.0
S250415G,노항우,장기보관성개선,[910기반] HDDA 0.25%,0.46,0.42,0.54,0.9,0.08,8-9,,50.0,0.00414,,333.23,BA 39.35 / 2-EHA 39.35 / CHMA 20 / AA 1.3 / HDDA 0.25,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.38wt%,4.75시간,83.0
S250415F,노항우,장기보관성개선,[910],0.46,0.43,0.34,0.92,0.15,8,-40.04,50.0,0.00414,,331.17,BA 39.35 / 2-EHA 39.35 / CHMA 20 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250407F,노항우,장기보관성개선,[911기반] SR-1025 1.25% + A-10 0.08%,0.48,0.44,0.61,0.92,0.0015,8-9,-41.92,25.0,0.00226,,314.65,BA 89.7 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.28wt%(초기 0.03wt%) / A-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.19wt%,4.75시간,83.0
